id,time,isRank,winner_name,winner_god_1,winner_god_2,winner_god_ban,winner_deck_code,winner_normal_card_1,winner_normal_card_2,winner_normal_card_3,winner_normal_card_4,winner_normal_card_5,winner_normal_card_6,winner_normal_card_7,winner_special_card_1,winner_special_card_2,winner_special_card_3,loser_name,loser_god_1,loser_god_2,loser_god_ban,loser_deck_code,loser_normal_card_1,loser_normal_card_2,loser_normal_card_3,loser_normal_card_4,loser_normal_card_5,loser_normal_card_6,loser_normal_card_7,loser_special_card_1,loser_special_card_2,loser_special_card_3,loser_isPublic,winner_isPublic
1,2022-08-27 15:05:50.779660,1,sumire,14-O,16-A1,18-O,140A26161ED8,14-O-N-2,14-O-N-6,16-O-N-1,16-O-N-2,16-O-N-4,16-O-N-5,16-O-N-7,14-O-S-2,14-O-S-3,16-A1-S-4,Mullung,13-O,09-O,03-O,130F02090F4A,13-O-N-1,13-O-N-2,13-O-N-3,09-O-N-1,09-O-N-2,09-O-N-3,09-O-N-5,13-O-S-3,09-O-S-1,09-O-S-3,1,1
2,2022-08-27 15:18:26.822153,0,0xrgb,16-O,02-O,05-O,160F8C020E48,16-O-N-1,16-O-N-2,16-O-N-3,16-O-N-4,02-O-N-1,02-O-N-2,02-O-N-5,16-O-S-1,16-O-S-2,02-O-S-1,woodo,18-O,14-O,16-A1,180A61140F86,18-O-N-2,18-O-N-5,18-O-N-6,14-O-N-1,14-O-N-2,14-O-N-3,14-O-N-4,18-O-S-4,14-O-S-2,14-O-S-3,1,1
3,2022-08-27 15:28:14.468737,0,hely4609,14-O,15-O,10-A2,140C26150BE2,14-O-N-1,14-O-N-6,15-O-N-2,15-O-N-3,15-O-N-4,15-O-N-5,15-O-N-6,14-O-S-2,14-O-S-3,15-O-S-3,sumire,16-A1,14-O,18-O,161EC8140E26,16-O-N-1,16-O-N-2,16-O-N-4,16-O-N-5,14-O-N-1,14-O-N-2,14-O-N-6,16-A1-S-4,14-O-S-2,14-O-S-3,1,1
4,2022-08-27 15:43:58.363311,0,woodo,01-O,13-O,14-O,010F4A130E24,01-O-N-1,01-O-N-2,01-O-N-3,01-O-N-5,13-O-N-1,13-O-N-2,13-O-N-6,01-O-S-1,01-O-S-3,13-O-S-2,0xrgb,05-O,11-O,10-A2,050E40110EAD,05-O-N-1,05-O-N-2,05-O-N-5,11-O-N-1,11-O-N-2,11-O-N-4,11-O-N-6,11-O-S-1,11-O-S-2,11-O-S-4,1,1
5,2022-08-27 15:59:30.423029,0,0xrgb,03-A1,06-O,05-O,031AC4060DA5,03-A1-N-2,03-O-N-4,03-A1-N-5,06-O-N-1,06-O-N-3,06-O-N-4,06-O-N-6,03-A1-S-2,06-O-S-2,06-O-S-4,woodo,20-O,14-O,16-O,200E23140EC2,20-O-N-1,20-O-N-2,20-O-N-6,14-O-N-1,14-O-N-2,14-O-N-4,14-O-N-5,20-O-S-3,20-O-S-4,14-O-S-3,1,1
6,2022-08-27 16:27:36.719645,0,¸ÀÀÖ´Â³ªÃÝ,21-O,16-O,None,210F30160C8E,21-O-N-1,21-O-N-2,21-O-N-3,21-O-N-6,21-O-N-7,16-O-N-1,16-O-N-4,16-O-S-1,16-O-S-2,16-O-S-3,planetring,20-O,16-AA1,None,200C2A162ED8,20-O-N-1,20-O-N-6,16-O-N-1,16-O-N-2,16-O-N-4,16-O-N-5,16-AA1-N-7,20-O-S-1,20-O-S-3,16-AA1-S-4,1,1
7,2022-08-27 17:51:46.407423,0,Koongsit,15-O,12-O,None,150A3C120BC2,15-O-N-2,15-O-N-6,15-O-N-7,12-O-N-2,12-O-N-3,12-O-N-4,12-O-N-5,15-O-S-1,15-O-S-2,12-O-S-3,YukiN,17-O,13-O,None,170F8C130C68,17-O-N-1,17-O-N-2,17-O-N-3,17-O-N-4,13-O-N-1,13-O-N-5,13-O-N-6,17-O-S-1,17-O-S-2,13-O-S-1,1,1
8,2022-08-27 18:59:46.619308,0,Siper,01-O,21-O,15-O,010D4C210F82,01-O-N-1,01-O-N-3,01-O-N-5,21-O-N-1,21-O-N-2,21-O-N-3,21-O-N-4,01-O-S-1,01-O-S-2,21-O-S-3,horain,15-O,18-O,03-O,150963180B68,15-O-N-3,15-O-N-5,15-O-N-6,18-O-N-2,18-O-N-3,18-O-N-5,18-O-N-6,15-O-S-3,15-O-S-4,18-O-S-1,1,1
9,2022-08-27 19:29:22.903103,0,horain,16-A1,02-A2,09-A1,161EC8022C9A,16-O-N-1,16-O-N-2,16-O-N-4,16-O-N-5,02-O-N-1,02-O-N-4,02-A2-N-7,16-A1-S-4,02-O-S-1,02-A2-S-3,Siper,03-O,08-A1,14-O,030F69081A88,03-O-N-1,03-O-N-2,03-O-N-3,03-O-N-5,03-O-N-6,08-A1-N-2,08-O-N-4,03-O-S-1,03-O-S-4,08-A1-S-1,1,1
10,2022-08-28 01:07:41.705840,0,hibro,19-O,11-A1,01-A2,1908B1111C79,19-O-N-4,19-O-N-6,19-O-N-7,11-O-N-1,11-A1-N-5,11-O-N-6,11-O-N-7,19-O-S-4,11-A1-S-1,11-O-S-4,Mullung,13-O,09-O,03-O,130F04090F4A,13-O-N-1,13-O-N-2,13-O-N-3,09-O-N-1,09-O-N-2,09-O-N-3,09-O-N-5,13-O-S-2,09-O-S-1,09-O-S-3,1,1
